feature,count,stability
sensor_065,5,1.0
sensor_477,5,1.0
sensor_078,5,1.0
sensor_573,5,1.0
sensor_249,5,1.0
sensor_211,5,1.0
sensor_068,5,1.0
sensor_407,5,1.0
sensor_574,5,1.0
sensor_060,5,1.0
sensor_064,5,1.0
sensor_575,5,1.0
sensor_585,5,1.0
sensor_584,5,1.0
sensor_206,5,1.0
sensor_576,5,1.0
sensor_387,5,1.0
sensor_349,5,1.0
sensor_011,5,1.0
sensor_154,5,1.0
sensor_288,5,1.0
sensor_426,5,1.0
sensor_421,5,1.0
sensor_292,5,1.0
sensor_104,5,1.0
sensor_406,5,1.0
sensor_430,5,1.0
sensor_342,5,1.0
sensor_165,4,0.8
sensor_290,4,0.8
sensor_015,4,0.8
sensor_567,4,0.8
sensor_367,4,0.8
sensor_434,4,0.8
sensor_215,4,0.8
sensor_470,4,0.8
sensor_353,4,0.8
sensor_495,4,0.8
sensor_201,4,0.8
sensor_588,4,0.8
sensor_079,4,0.8
sensor_072,4,0.8
sensor_577,4,0.8
sensor_229,4,0.8
sensor_101,4,0.8
sensor_204,4,0.8
sensor_568,4,0.8
sensor_041,4,0.8
sensor_332,4,0.8
sensor_302,4,0.8
sensor_286,4,0.8
sensor_436,4,0.8
sensor_351,4,0.8
sensor_491,4,0.8
sensor_424,4,0.8
sensor_042,4,0.8
sensor_171,4,0.8
sensor_299,4,0.8
sensor_097,4,0.8
sensor_052,4,0.8
sensor_511,4,0.8
sensor_578,3,0.6
sensor_440,3,0.6
sensor_552,3,0.6
sensor_318,3,0.6
sensor_554,3,0.6
sensor_024,3,0.6
sensor_083,3,0.6
sensor_081,3,0.6
sensor_082,3,0.6
sensor_076,3,0.6
sensor_445,3,0.6
sensor_354,3,0.6
sensor_160,3,0.6
sensor_147,3,0.6
sensor_435,3,0.6
sensor_218,3,0.6
sensor_480,3,0.6
sensor_362,3,0.6
sensor_005,2,0.4
sensor_252,2,0.4
sensor_473,2,0.4
sensor_239,2,0.4
sensor_489,2,0.4
sensor_223,2,0.4
sensor_280,2,0.4
sensor_126,2,0.4
sensor_512,2,0.4
sensor_155,2,0.4
sensor_307,2,0.4
sensor_443,2,0.4
sensor_350,2,0.4
sensor_186,2,0.4
sensor_501,2,0.4
sensor_413,2,0.4
sensor_333,2,0.4
sensor_216,2,0.4
sensor_322,2,0.4
sensor_145,2,0.4
sensor_468,2,0.4
sensor_217,2,0.4
sensor_418,2,0.4
sensor_496,1,0.2
sensor_432,1,0.2
sensor_481,1,0.2
sensor_220,1,0.2
sensor_184,1,0.2
sensor_338,1,0.2
sensor_209,1,0.2
sensor_341,1,0.2
sensor_202,1,0.2
sensor_107,1,0.2
sensor_408,1,0.2
sensor_345,1,0.2
sensor_587,1,0.2
sensor_317,1,0.2
sensor_214,1,0.2
sensor_570,1,0.2
sensor_080,1,0.2
sensor_336,1,0.2
sensor_339,1,0.2
sensor_272,1,0.2
sensor_441,1,0.2
sensor_497,1,0.2
sensor_542,1,0.2
sensor_304,1,0.2
sensor_151,1,0.2
sensor_431,1,0.2
sensor_438,1,0.2
sensor_130,1,0.2
