Sampler,Model,Recall,F1,AUC_PR
SMOTE+Tomek,LGBM,0.19047619047619047,0.27586206896551724,0.21839473146470217
SMOTE+Tomek,XGB,0.19047619047619047,0.24242424242424243,0.18028526493925023
RUS,RF,0.8095238095238095,0.2251655629139073,0.20865938283697938
RUS,CatBoost,0.6666666666666666,0.2028985507246377,0.21758474257548785
RUS,XGB,0.7142857142857143,0.20134228187919462,0.17234695563276253
SMOTE+Tomek,CatBoost,0.14285714285714285,0.1935483870967742,0.18511685403237463
SMOTE,CatBoost,0.14285714285714285,0.1875,0.15805036674161727
SMOTE,XGB,0.14285714285714285,0.18181818181818182,0.19148062648593367
RUS,LGBM,0.6190476190476191,0.16666666666666666,0.13707814522043202
SMOTE,RF,0.09523809523809523,0.14814814814814814,0.21554964620252892
SMOTE+Tomek,RF,0.09523809523809523,0.14285714285714285,0.21869698106875574
SMOTE,LGBM,0.09523809523809523,0.13793103448275862,0.2011025861793824
